id,L_value,B1_value,B5_value,Buriedvolume
fe_thd_2_chloride_4_ammonia_0_chloride_0_pyridine_0_s_5_conf_1,4.390000000000001,2.8064828159431467,3.8618763322562657,0.6513697353708535
fe_thd_2_chloride_4_cyanide_0_cyanide_0_ammonia_0_s_5_conf_1,4.390000000000001,2.8064828159431467,3.8618763322562657,0.6513697353708535
fe_thd_2_methylamine_4_methylamine_0_chloride_0_cyanide_0_s_5_conf_1,5.5792413548858155,3.2384805243577297,5.138804612165128,0.6262520965337309
fe_thd_2_pyridine_4_ammonia_0_pyridine_0_cyanide_0_s_5_conf_1,7.483290078912335,4.540598248278108,6.741433885491432,0.7688862746925084
fe_thd_2_water_4_methylamine_0_cyanide_0_chloride_0_s_5_conf_1,4.226198,2.728503601467056,3.9311664781454687,0.49235929929183747
fe_tpl_2_ammonia_3_methylamine_0_chloride_0_s_5_conf_1,4.24,1.935104511349195,3.894431688598677,0.36775531121878496
fe_tpl_2_chloride_3_ammonia_0_chloride_0_s_5_conf_1,4.390000000000001,1.7508466749055893,3.689897,0.5017937010808796
fe_tpl_2_pyridine_3_chloride_0_pyridine_0_s_5_conf_1,7.483290078912335,2.6538526792570094,6.281655470515078,0.5849212635109952
fe_tpl_2_water_3_ammonia_0_chloride_0_s_5_conf_1,4.226198,1.8825349984998616,3.624966144577285,0.3704109206112561
fe_tpl_2_water_3_cyanide_0_ammonia_0_s_5_conf_1,4.226198,1.8825349984998616,3.624966144577285,0.3704109206112561
fe_tpr_2_cyanide_6_water_0_ammonia_0_chloride_0_ammonia_0_cyanide_0_s_5_conf_1,5.592900161374974,3.9510374168499904,5.1735470308792975,0.7636041744316064
fe_tpr_2_methylamine_6_cyanide_0_ammonia_0_pyridine_0_methylamine_0_pyridine_0_s_5_conf_1,5.579241228817171,3.6411919787723512,5.235203083513003,0.7992219530376444
fe_tpr_2_methylamine_6_cyanide_0_methylamine_0_water_0_water_0_methylamine_0_s_5_conf_1,5.579241228817171,3.6411919787723512,5.235203083513003,0.7992219530376444
fe_tpr_2_pyridine_6_methylamine_0_cyanide_0_cyanide_0_pyridine_0_pyridine_0_s_5_conf_1,7.483289467624228,5.061817484140423,7.051486391293862,0.9225563734625419
fe_tpr_2_water_6_water_0_ammonia_0_water_0_chloride_0_methylamine_0_s_5_conf_1,4.226198060362995,3.130657188857089,3.9362432984798987,0.6576476891539321
